city,age,sex,family_size,work_hours,avg_sleep_hours,screen_time_hours,tea_cups,coffee_cups,late_snack,spice_intake,religious_freq,festival_freq,physical_activity_min,bedtime_variability,stress_level,city_noise_dB,light_pollution_index,temperature_night,humidity_night,air_quality_index,screen_brightness_behavior,sleep_quality_score
Chennai,41.4,Female,3,8.1,5.66,3.09,1,1,0,2,0,1,41.3,0.24,8.66,83.58,65.56,12.27,63.69,112.0,0.45,44.14
Visakhapatnam,26.5,Female,4,10.0,6.57,2.2,4,0,1,3,7,3,51.1,1.22,4.37,61.87,61.25,22.67,63.55,166.7,0.61,65.21
Delhi,32.3,Female,2,11.5,6.62,1.96,3,4,0,4,3,0,56.5,0.18,4.68,66.17,66.73,31.02,58.03,131.7,0.6,54.15
Pune,43.0,Male,3,7.8,6.56,2.01,3,3,1,1,2,3,48.6,0.0,2.61,68.13,78.88,25.2,72.61,172.7,0.85,53.97
Kota,29.2,Male,4,11.9,5.06,0.76,2,1,0,5,6,1,21.7,0.25,5.35,69.64,26.26,19.57,49.74,191.0,0.35,61.74
Thrissur,32.1,Female,6,8.3,4.67,1.44,6,0,0,2,2,3,58.5,0.93,5.4,51.08,57.58,27.87,69.27,92.1,0.58,39.51
Bengaluru,29.0,Male,4,10.5,4.82,3.91,3,2,0,5,3,3,75.8,0.03,4.04,74.46,79.7,12.9,44.13,141.5,0.38,47.61
Lucknow,42.4,Female,4,10.1,6.92,1.1,3,1,1,5,3,1,54.6,1.38,5.15,60.61,41.64,24.01,64.06,27.1,0.69,57.3
Siliguri,27.4,Male,3,8.0,6.94,3.09,3,0,0,3,1,4,49.2,1.82,5.85,71.6,29.29,18.75,67.63,121.5,0.73,51.26
Hyderabad,42.8,Female,2,8.9,4.98,1.97,1,1,0,2,0,0,1.4,1.66,5.66,75.53,60.96,25.86,69.94,158.0,0.33,49.3
Rajkot,29.0,Male,6,8.4,8.37,1.85,1,0,0,3,5,1,33.9,2.01,5.0,46.64,44.92,24.88,51.94,12.7,0.68,67.74
Gwalior,21.4,Male,3,9.7,8.36,2.41,1,0,0,4,2,1,34.5,0.56,6.91,61.46,51.82,20.97,81.35,13.7,0.66,58.95
Dhanbad,36.8,Female,5,9.9,7.41,2.92,2,2,0,4,1,0,41.7,0.95,2.17,46.69,57.33,20.95,80.0,135.2,0.54,56.07
Chennai,27.0,Female,1,12.1,4.7,2.13,1,1,1,4,1,1,21.1,0.48,6.44,75.36,69.27,19.1,78.01,140.8,0.67,23.95
Surat,36.2,Female,3,11.9,3.91,2.98,3,2,1,2,2,3,44.7,0.8,6.7,79.64,64.89,24.1,53.62,131.4,0.59,51.54
Mangalore,16.0,Female,4,10.8,7.71,2.19,0,0,0,5,4,3,24.4,1.79,4.41,52.71,56.96,31.95,80.16,78.5,0.14,65.28
Rajkot,30.1,Male,5,10.3,8.39,1.78,1,0,0,3,4,2,64.6,0.58,1.5,43.41,58.97,27.87,67.53,10.0,0.43,69.16
Delhi,25.4,Male,3,11.2,6.15,1.46,3,3,0,1,2,2,37.9,0.85,3.72,70.32,67.48,27.95,61.12,154.5,0.11,54.26
Shimla,19.4,Male,4,8.4,8.04,2.4,2,1,0,3,0,2,69.4,2.53,4.19,58.82,42.37,32.49,81.58,33.2,0.26,57.14
Delhi,24.5,Female,3,9.2,7.33,2.53,1,2,0,4,5,2,38.6,0.53,4.7,71.99,56.28,25.86,50.83,135.5,0.13,59.0
Agartala,24.3,Male,5,6.7,8.64,1.71,0,0,1,3,1,1,19.6,1.59,2.63,64.19,5.0,18.98,68.66,65.3,0.5,60.96
Hyderabad,29.5,Female,3,12.1,6.76,3.11,1,1,0,4,4,1,22.8,2.67,8.06,74.49,71.43,18.85,56.49,114.4,0.08,41.25
Moradabad,16.3,Male,6,9.1,6.6,2.51,0,1,1,3,2,3,34.9,0.75,3.64,59.91,57.38,24.02,55.4,58.8,0.63,59.11
Jaipur,33.2,Male,2,10.5,6.09,0.82,2,4,1,3,1,0,44.3,2.08,2.87,67.69,65.65,27.76,54.52,176.9,0.63,62.36
Surat,43.7,Female,4,5.8,5.76,1.95,1,2,1,4,0,0,66.8,0.46,4.18,72.04,64.86,27.36,49.24,147.7,0.18,49.63
Kolkata,32.8,Female,3,9.0,7.13,1.53,3,3,0,5,1,2,83.0,1.57,7.36,60.49,58.71,23.44,59.55,153.3,0.34,47.16
Ahmedabad,38.1,Male,2,11.5,6.5,1.6,1,1,0,3,1,3,38.5,2.02,8.0,54.54,66.16,15.33,64.97,60.8,0.5,56.17
Pondicherry,40.9,Male,4,9.5,8.14,1.29,3,0,0,3,4,2,77.4,2.18,6.88,59.11,54.03,24.74,49.99,57.7,0.6,59.05
Nellore,42.4,Male,4,8.0,5.95,2.99,3,0,0,3,2,3,38.2,1.77,6.61,41.42,52.81,31.22,76.61,10.0,0.43,63.46
Jaipur,48.7,Male,3,9.8,6.35,2.83,3,1,1,3,3,4,36.6,1.37,5.99,61.21,62.4,23.87,40.06,127.5,0.57,48.97
Thane,25.0,Female,6,12.0,6.68,1.9,2,0,0,5,5,2,49.0,1.12,5.63,58.59,61.78,29.15,31.46,100.5,0.08,59.31
Kota,22.8,Male,6,8.6,5.98,2.17,0,0,1,4,3,1,24.4,1.63,6.49,63.33,19.91,20.73,41.52,125.9,0.43,48.42
Durgapur,37.8,Male,6,9.2,8.06,2.39,2,0,0,5,2,4,56.1,1.47,3.7,51.47,70.7,33.78,60.91,88.7,0.26,54.41
Varanasi,37.1,Female,4,9.0,6.86,1.68,2,0,0,4,3,2,29.3,0.82,6.58,59.12,14.57,21.98,73.6,33.3,0.9,57.2
Jaipur,37.8,Female,3,10.3,8.64,1.21,4,2,0,2,2,1,8.0,0.58,1.76,72.17,74.62,23.85,42.44,187.0,0.73,64.49
Kanpur,48.9,Male,3,10.8,6.52,1.02,3,2,1,4,2,2,35.9,0.26,4.53,67.32,42.91,27.47,65.98,60.8,0.56,49.48
Guwahati,30.1,Male,4,12.7,7.44,0.57,1,0,0,4,2,2,31.4,0.69,3.73,52.89,59.74,29.94,52.85,79.5,0.68,56.58
Delhi,34.3,Male,3,12.2,5.1,4.64,1,2,1,4,1,0,10.2,0.83,4.33,66.73,58.93,34.87,46.61,163.3,0.51,44.23
Dhanbad,20.2,Male,5,9.4,4.91,0.44,2,0,1,5,2,1,36.8,2.4,6.27,46.08,59.06,22.58,77.43,81.5,0.55,51.99
Surat,51.4,Female,2,11.8,6.91,1.25,4,2,1,5,1,3,44.2,1.23,2.31,73.79,75.87,21.1,51.48,90.8,0.85,60.32
Panaji,26.6,Female,6,6.8,7.47,1.98,2,0,1,2,0,3,53.7,1.6,5.17,46.19,69.49,26.08,75.34,10.0,0.83,59.85
Bengaluru,26.9,Male,2,10.0,6.77,1.17,1,0,0,5,3,1,57.8,0.75,5.96,64.16,60.3,13.01,64.43,132.9,0.66,52.82
Varanasi,26.5,Female,3,7.9,6.47,0.96,4,0,0,2,1,1,29.7,2.72,3.11,66.01,24.83,23.87,66.9,36.1,0.73,42.66
Pimpri-Chinchwad,23.6,Male,4,8.1,6.77,2.1,2,0,0,5,4,2,67.9,1.64,5.43,56.78,61.23,21.67,71.84,78.8,0.67,56.59
Navi Mumbai,22.7,Male,5,10.4,5.69,3.2,1,0,0,3,5,3,22.7,0.5,6.05,49.61,35.64,24.16,70.17,115.9,0.9,35.92
Mumbai,24.8,Female,3,12.0,6.2,3.41,1,0,0,3,1,3,78.4,0.58,4.12,59.99,95.41,19.88,69.28,124.6,0.68,53.52
Vasai-Virar,16.3,Male,4,7.0,9.17,2.64,4,0,1,4,4,1,64.1,1.85,2.96,58.77,40.79,28.56,56.64,10.0,0.29,65.27
Kalyan-Dombivli,22.1,Male,6,8.7,6.33,1.96,5,0,1,4,4,2,30.6,0.42,7.23,70.64,34.56,22.44,56.09,92.3,0.59,57.78
Kalyan-Dombivli,49.5,Female,4,8.0,7.53,1.38,5,1,1,4,2,2,36.7,1.42,5.29,73.0,36.78,29.75,51.69,96.6,0.61,65.22
Srinagar,37.4,Male,5,10.0,6.79,2.41,2,0,0,4,4,1,23.2,2.24,2.35,59.36,58.04,25.94,68.21,75.1,0.66,46.53
Coimbatore,39.3,Male,6,10.7,6.56,3.25,4,0,0,3,0,1,47.4,2.8,3.58,54.97,70.37,24.11,46.2,44.5,0.67,61.76
Siliguri,41.8,Female,4,12.4,5.38,2.56,4,1,1,4,0,2,20.8,3.04,6.36,72.43,24.7,25.03,42.79,96.6,0.47,50.02
Pune,48.3,Female,2,11.8,6.79,2.14,1,2,1,4,0,2,29.6,0.36,3.57,68.22,85.24,16.95,77.33,131.0,0.36,39.36
Itanagar,16.0,Female,5,10.7,8.36,2.55,2,0,0,4,3,3,64.2,0.83,2.77,37.62,43.96,27.02,50.22,69.3,0.09,66.52
Vadodara,17.7,Male,4,7.5,7.2,2.5,0,2,0,3,4,2,44.7,1.03,4.55,55.41,35.08,23.58,62.67,76.1,0.53,52.51
Mumbai,22.0,Male,2,9.0,7.68,1.76,1,3,0,4,3,0,45.3,2.75,2.54,75.11,93.2,22.54,86.06,150.7,0.54,59.84
Mumbai,25.3,Male,2,10.1,5.28,2.77,1,0,1,2,4,1,34.6,1.69,3.84,73.12,85.13,21.22,78.23,183.2,0.84,48.73
Surat,27.0,Female,4,13.9,6.4,3.07,3,2,1,2,2,1,29.9,0.0,6.86,65.2,67.0,26.46,45.96,105.6,0.73,38.93
Vijayawada,25.5,Male,5,9.1,5.32,3.05,2,0,1,3,3,1,23.0,1.1,6.31,47.78,63.68,23.85,63.29,10.0,0.45,51.79
Jodhpur,32.2,Female,5,11.1,6.36,1.42,1,0,0,5,5,1,9.1,1.46,6.76,60.78,64.82,27.61,57.18,65.5,0.88,55.91
Vijayawada,30.4,Male,4,8.4,7.52,0.69,3,0,0,3,3,1,49.6,2.82,5.11,50.75,43.93,20.32,68.27,37.5,0.44,72.75
Ludhiana,22.8,Male,6,9.0,6.96,2.46,6,1,0,2,2,0,87.6,2.74,2.71,67.42,61.11,30.54,67.6,107.7,0.86,63.9
Thane,16.0,Male,4,9.0,6.11,2.75,4,0,0,4,1,0,30.4,0.0,4.7,51.99,56.35,30.96,40.74,60.3,0.53,61.44
Kolkata,20.1,Female,3,9.3,6.12,2.74,0,2,1,3,4,2,26.5,2.56,6.36,71.8,56.49,19.31,45.1,140.7,0.31,37.14
Surat,24.5,Female,2,11.0,7.97,2.69,0,0,1,1,2,2,50.9,1.56,3.06,70.41,75.61,24.06,33.41,117.8,0.75,56.18
Thane,27.5,Other,3,7.1,7.92,3.15,1,0,0,2,5,3,33.1,0.56,7.85,66.36,66.18,32.42,46.73,112.9,0.28,53.96
Bengaluru,18.7,Male,4,7.3,7.2,2.59,2,2,1,3,6,4,56.1,0.0,6.99,64.17,67.68,13.4,28.64,150.6,0.44,39.69
Hyderabad,25.1,Male,3,9.6,7.95,3.91,1,0,0,2,1,2,61.0,1.09,1.84,81.18,53.4,26.32,60.15,157.9,0.53,53.67
Srinagar,18.7,Male,2,9.8,7.17,1.24,3,1,0,4,4,1,46.1,2.01,3.53,49.89,48.94,17.38,72.92,62.3,0.58,56.91
Gwalior,28.7,Female,5,7.9,5.98,2.24,7,0,0,5,3,2,35.5,0.83,3.65,72.03,37.97,20.53,74.69,58.4,0.85,67.75
Nellore,19.3,Male,2,12.5,7.47,2.35,0,0,1,4,2,2,6.6,1.62,3.54,42.17,44.6,30.09,78.39,28.7,0.22,60.32
Udaipur,21.5,Male,5,9.0,6.45,1.82,1,0,0,5,1,3,12.4,2.75,4.24,55.41,59.92,21.87,54.12,86.7,0.29,44.02
Navi Mumbai,16.9,Male,3,9.1,9.38,3.79,2,0,0,3,0,3,66.4,1.78,1.97,49.56,32.1,28.14,73.05,55.9,0.87,64.01
Nagpur,28.5,Male,4,7.5,6.96,1.58,2,3,0,3,1,3,44.8,0.62,4.8,60.96,35.49,19.65,65.29,35.7,0.22,48.15
Navi Mumbai,21.3,Male,4,9.9,6.69,5.3,2,0,1,3,4,2,38.9,0.35,5.58,58.18,41.92,23.99,54.15,76.0,0.89,56.64
Vijayawada,39.1,Male,4,10.5,5.69,2.21,3,1,1,2,1,1,43.7,0.87,7.81,49.97,47.32,22.85,67.64,23.1,0.23,29.92
Bengaluru,34.1,Male,2,10.3,5.41,4.24,5,0,0,3,1,3,51.0,2.01,4.94,80.86,62.78,12.7,49.21,142.2,0.16,48.13
Kanpur,29.3,Male,5,9.5,8.95,2.8,0,0,0,4,3,3,25.3,2.47,2.6,59.16,35.5,27.78,78.27,70.4,0.89,53.35
Aizawl,22.0,Female,4,9.4,6.3,3.28,1,0,1,3,5,3,53.3,1.83,7.62,64.75,41.34,24.86,64.46,48.4,0.19,44.38
Jaipur,33.8,Female,2,8.6,7.54,2.59,0,1,0,2,6,2,78.3,0.35,5.64,62.05,82.91,27.58,39.46,195.3,0.51,53.41
Vasai-Virar,36.9,Male,5,11.2,6.84,3.01,4,1,0,3,1,2,31.9,0.82,3.76,52.92,61.07,21.38,67.51,10.0,0.71,51.85
Vasai-Virar,31.4,Female,5,8.5,7.44,3.31,0,0,0,1,1,1,41.0,0.47,4.84,59.66,70.14,21.56,61.48,34.7,0.59,46.9
Chennai,46.0,Male,4,12.6,5.83,2.79,2,5,0,3,3,1,55.9,2.41,1.0,68.93,63.75,20.16,63.17,166.8,0.09,55.44
Jaipur,34.6,Male,3,8.2,6.57,1.8,2,0,1,3,2,1,27.6,2.22,4.37,75.77,56.38,27.56,24.5,180.7,0.49,51.55
Surat,39.1,Female,2,11.4,4.23,4.33,0,0,1,5,3,3,43.5,2.25,3.98,73.87,70.95,24.41,40.99,148.2,0.7,44.84
Delhi,31.3,Female,1,10.3,6.47,2.52,0,2,0,3,1,3,41.3,0.91,5.3,80.45,64.51,31.04,64.53,156.1,0.41,42.67
Delhi,36.8,Female,3,10.1,7.8,2.58,2,0,1,3,1,1,46.9,1.83,2.59,73.06,77.28,31.2,70.1,151.0,0.94,56.18
Itanagar,22.0,Male,6,8.1,7.16,2.24,2,0,0,3,5,0,51.3,0.0,5.12,51.28,31.04,23.65,64.08,116.7,0.56,64.14
Pune,25.4,Female,2,11.0,6.2,2.22,0,4,0,5,0,0,28.0,0.63,2.2,73.69,94.4,21.24,67.37,91.7,0.25,47.72
Ludhiana,33.5,Male,6,9.8,5.72,2.31,2,1,1,3,4,2,55.2,0.73,6.35,62.68,73.78,28.22,56.26,47.0,0.5,65.89
Ahmedabad,33.4,Male,3,12.7,7.48,2.85,1,1,1,4,2,1,15.6,0.79,6.36,69.95,83.73,21.57,55.96,47.7,0.4,43.62
Bilaspur,35.1,Male,3,10.0,6.35,1.99,1,1,0,3,4,1,57.3,1.09,5.88,58.93,43.82,22.49,56.07,80.9,0.44,55.74
Pune,41.0,Female,4,9.4,6.7,2.93,1,2,0,4,2,2,18.5,1.6,6.7,71.47,73.44,21.34,78.48,147.1,0.66,46.11
Indore,16.0,Male,6,8.4,7.97,1.8,2,0,0,4,6,0,40.3,0.71,4.12,67.3,41.21,22.75,55.57,101.5,0.7,63.37
Pondicherry,20.3,Female,2,9.5,5.34,1.66,3,0,1,3,2,3,36.7,1.85,7.11,57.8,53.88,24.12,61.17,24.5,0.31,48.73
Kohima,32.3,Female,6,11.2,6.96,2.65,1,0,0,5,3,1,27.9,0.0,2.34,47.66,53.49,25.74,71.6,69.0,0.78,50.83
Chennai,22.8,Male,2,10.6,6.21,2.79,2,1,0,2,2,2,51.5,1.6,4.88,69.47,77.73,15.92,40.85,163.9,0.58,51.67
Siliguri,63.8,Female,5,10.5,6.86,2.84,5,1,0,1,2,3,22.8,2.21,4.11,71.24,26.54,25.83,61.56,41.5,0.62,46.63
Bhopal,35.2,Female,4,9.4,4.91,1.53,3,0,0,4,1,3,29.7,1.37,6.95,62.86,37.39,26.57,44.9,32.7,0.42,35.68
Pimpri-Chinchwad,29.2,Male,4,6.2,7.67,3.02,4,0,0,4,2,3,23.9,0.62,6.0,55.38,46.26,20.47,63.95,22.9,0.38,51.13
Kolkata,24.8,Male,2,10.7,5.87,3.39,1,1,0,4,2,2,41.5,0.18,6.36,59.93,63.62,21.23,54.03,178.8,0.68,42.1
Bengaluru,25.2,Female,3,9.7,7.08,2.76,0,2,0,3,2,1,47.4,2.05,3.11,72.87,77.53,13.25,36.7,139.5,0.69,58.74
Kota,30.3,Male,5,10.8,5.87,1.4,6,0,0,3,6,1,28.9,1.66,5.92,77.62,35.94,21.4,59.89,89.3,0.58,53.5
Vadodara,31.1,Female,5,11.5,5.64,2.54,2,0,0,3,5,1,38.5,0.88,4.09,43.33,41.24,22.39,74.7,87.9,0.85,55.14
Thane,25.4,Male,6,11.7,6.84,1.41,3,0,0,3,0,1,55.8,0.94,4.72,64.37,49.54,33.42,49.54,60.5,0.69,59.33
Gwalior,27.3,Male,3,8.7,6.65,1.63,4,1,0,3,6,0,49.5,1.26,7.34,73.99,28.71,22.29,61.69,46.9,0.45,64.57
Shimla,43.4,Female,4,8.3,7.71,2.25,1,0,0,4,1,2,71.3,0.5,3.81,37.55,44.0,29.68,70.34,43.1,0.47,57.66
Kolkata,43.8,Female,4,9.5,7.59,2.35,3,1,0,4,2,0,64.0,1.5,1.0,56.74,47.52,19.79,60.17,116.8,0.94,57.36
Aurangabad,32.5,Male,4,8.8,8.13,1.04,1,1,1,3,4,1,30.1,2.73,6.02,36.92,62.99,18.58,79.86,102.0,0.54,64.12
Kolkata,16.6,Female,4,10.2,6.45,2.59,2,2,1,3,2,2,16.8,1.15,3.72,74.06,69.29,19.57,56.32,137.2,0.1,44.98
Agartala,35.4,Male,2,7.6,8.57,1.1,2,0,0,4,3,0,66.6,1.28,4.92,62.11,25.55,19.38,57.88,135.4,0.31,62.16
Ranchi,45.5,Female,6,9.0,7.45,2.23,1,0,0,3,6,2,79.0,1.85,4.2,54.76,31.05,25.76,60.09,29.3,0.42,59.05
Moradabad,43.7,Female,3,6.0,6.97,1.65,4,0,0,2,3,2,51.7,1.76,4.66,46.4,48.04,22.03,40.13,91.3,0.15,58.3
Mumbai,37.3,Male,2,13.2,7.12,2.86,2,1,1,3,1,3,42.7,1.67,3.03,65.46,83.78,16.77,74.33,117.0,0.13,50.19
Mumbai,44.2,Male,2,9.7,7.76,2.18,3,1,1,3,1,2,21.2,0.36,6.38,57.95,74.25,23.37,69.01,112.8,0.91,47.22
Ahmedabad,30.5,Male,4,9.4,4.61,3.27,4,2,0,4,1,4,28.0,0.0,7.7,64.76,77.71,22.66,74.8,109.3,0.71,37.9
Pune,36.3,Male,2,10.8,6.11,2.85,2,2,0,4,3,3,74.5,1.24,5.14,66.69,88.5,21.66,50.09,140.2,0.54,49.54
Pune,23.2,Male,4,11.3,8.21,2.26,2,0,0,3,2,1,50.8,0.58,7.6,71.89,76.75,13.66,76.89,128.3,0.1,56.48
Rajahmundry,32.9,Female,3,6.0,7.6,1.89,3,1,0,3,3,1,19.9,2.5,6.28,57.02,31.49,24.19,65.8,63.8,0.44,51.61
Pune,43.3,Male,1,9.0,6.22,4.73,1,0,0,3,5,2,7.1,1.26,9.61,71.59,89.44,25.09,86.53,105.4,0.5,36.71
Pune,24.1,Female,3,12.1,8.87,3.33,1,1,1,3,1,2,35.5,0.47,2.73,72.85,79.7,22.4,84.37,102.4,0.84,50.28
Dehradun,21.4,Female,5,10.3,6.4,2.97,1,0,0,2,1,1,65.0,1.86,1.32,48.81,41.76,26.96,59.26,94.5,0.89,60.14
Thane,31.0,Female,6,7.2,7.78,1.39,3,0,0,3,1,3,61.6,2.04,4.43,54.84,62.55,32.07,34.01,32.8,0.3,43.83
Mangalore,27.7,Male,3,10.8,7.28,1.82,3,0,0,3,1,0,51.4,1.66,5.06,54.12,68.4,24.9,75.14,18.5,0.13,55.13
Mumbai,36.5,Male,4,11.1,7.22,2.0,2,1,1,4,0,1,4.6,0.46,4.43,61.54,91.53,22.66,75.72,135.1,0.56,51.34
Pimpri-Chinchwad,25.5,Female,3,7.8,4.64,1.53,5,0,0,3,3,2,9.8,0.0,5.76,49.25,56.27,17.45,63.36,89.8,0.3,56.76
Delhi,47.2,Male,3,10.0,3.94,1.73,1,2,1,2,7,1,48.8,1.3,8.74,72.61,71.29,29.2,48.45,147.5,0.33,33.22
Mumbai,17.1,Female,1,7.4,7.76,4.29,1,1,0,5,0,3,18.8,1.42,5.34,66.58,88.42,25.0,69.96,134.5,0.3,44.41
Rajahmundry,42.5,Male,4,10.2,3.66,2.65,2,1,0,2,5,4,12.6,0.9,8.91,52.34,29.75,26.34,59.29,44.4,0.66,38.75
Kolkata,22.4,Female,4,12.3,6.17,1.74,3,2,1,4,0,1,7.0,1.15,5.46,66.14,64.35,19.62,47.64,105.4,0.27,40.89
Nashik,16.0,Female,3,8.5,6.61,1.58,2,1,0,1,3,3,80.0,0.8,8.89,69.19,59.32,27.6,70.07,10.0,0.69,54.14
Kanpur,32.4,Female,5,9.0,6.72,2.33,5,0,0,3,3,3,44.4,0.0,3.62,52.88,39.08,25.32,71.3,55.4,0.21,53.77
Surat,27.5,Male,4,10.6,7.74,3.39,2,3,0,2,1,1,70.1,0.59,4.58,77.81,75.75,22.16,41.35,83.2,0.94,49.99
Aligarh,18.9,Male,3,8.7,4.59,2.94,2,0,0,4,1,2,19.4,1.43,8.32,47.89,39.71,24.0,86.26,95.3,0.42,40.69
Delhi,16.0,Female,4,6.9,6.18,3.14,0,1,1,5,3,1,0.0,1.13,4.71,72.97,59.39,32.46,49.53,154.8,0.74,42.12
Ranchi,29.9,Male,4,10.6,7.13,3.63,3,1,0,3,6,2,56.1,0.44,2.31,62.18,39.25,31.48,60.43,38.3,0.51,58.08
Kakinada,39.8,Male,4,10.8,6.28,2.38,0,0,0,4,1,2,67.2,2.33,8.47,57.05,48.4,26.29,71.45,111.8,0.54,41.36
Kalyan-Dombivli,35.8,Female,5,10.0,8.66,1.6,1,1,0,3,4,3,47.7,1.06,3.54,68.99,36.82,26.68,68.51,19.4,0.36,53.35
Bilaspur,30.6,Female,5,11.1,8.74,1.27,3,0,0,4,2,2,55.2,1.44,1.87,39.65,42.88,24.4,59.74,63.6,0.76,62.49
Mumbai,34.8,Male,2,9.8,4.86,1.92,0,1,0,5,1,0,30.0,0.64,5.28,65.9,77.87,26.94,79.9,138.2,0.41,46.76
Nagpur,29.7,Female,3,9.7,6.83,0.91,2,0,1,5,3,1,6.2,1.97,2.67,60.54,35.4,21.49,71.04,10.0,0.06,53.85
Pune,16.0,Female,3,8.9,7.09,3.67,1,2,0,3,0,0,31.4,1.92,4.15,63.8,90.54,17.62,78.92,75.0,0.79,41.77
Gwalior,16.0,Male,4,7.7,8.44,3.43,3,2,1,3,6,1,51.9,1.19,5.41,69.46,34.63,21.83,77.37,25.0,0.45,52.72
Guntur,28.0,Female,3,7.0,7.24,2.09,3,0,0,3,1,2,49.8,1.44,1.57,50.0,36.62,14.52,64.79,10.0,0.53,51.65
Pune,28.4,Female,3,10.5,8.69,4.83,1,1,0,3,2,1,47.9,1.66,6.39,60.9,82.94,19.29,72.01,124.9,0.69,57.43
Allahabad,38.5,Other,5,9.1,6.52,2.02,2,0,0,3,2,1,30.5,1.14,8.57,61.21,36.77,22.63,83.09,72.5,0.63,46.33
Chennai,37.6,Male,2,11.6,6.05,3.11,3,0,0,3,0,1,47.5,0.2,6.5,76.93,72.43,26.46,64.07,153.9,0.76,50.36
Kalyan-Dombivli,36.1,Female,5,6.4,6.2,0.58,1,0,1,2,3,2,54.2,1.75,6.92,64.47,30.66,28.01,47.05,28.4,0.28,44.86
Visakhapatnam,27.2,Male,4,9.4,7.7,2.73,1,0,1,3,4,1,40.0,1.09,6.1,57.26,72.21,25.52,35.32,135.4,0.76,46.54
Nanded,16.2,Male,5,11.6,7.34,1.43,6,0,0,3,2,2,66.7,1.74,1.13,45.28,54.17,31.71,54.35,18.6,0.4,69.24
Aurangabad,34.1,Female,4,9.2,6.75,2.75,2,0,1,3,2,2,57.6,1.56,5.52,47.79,67.65,16.4,65.51,99.0,0.48,58.34
Surat,35.3,Male,3,11.4,6.61,3.78,2,2,1,2,3,1,20.7,1.55,4.52,74.32,72.51,20.59,50.04,80.0,0.12,50.11
Bengaluru,16.0,Male,2,13.5,7.46,3.3,0,0,0,2,1,3,16.5,2.07,5.76,66.11,58.96,18.86,31.77,115.1,0.91,56.3
Kolkata,21.7,Male,2,12.0,6.39,2.93,0,2,0,4,1,1,44.2,1.07,5.17,66.14,54.02,18.22,52.25,112.1,0.5,53.9
Hyderabad,23.1,Male,3,7.9,5.04,3.12,1,0,0,3,1,1,26.4,2.01,5.02,80.25,55.08,21.75,64.43,89.0,0.88,45.07
Pune,31.2,Female,3,9.5,7.49,3.64,0,1,1,3,0,1,38.9,0.65,2.98,59.3,85.16,23.31,69.33,158.3,0.19,48.64
Bhubaneswar,22.0,Male,5,9.5,5.2,3.69,1,0,1,3,1,3,11.2,1.61,5.69,49.85,24.14,26.77,83.73,74.1,0.33,41.33
Kalyan-Dombivli,29.6,Female,5,8.9,4.51,2.01,2,0,1,3,2,0,5.2,1.17,3.69,65.08,30.94,21.41,56.15,47.3,0.48,40.49
Agra,27.9,Male,4,11.0,7.15,2.15,4,0,0,2,5,2,55.7,0.57,7.88,35.28,48.5,35.0,71.71,67.6,0.9,47.61
Bengaluru,28.4,Female,2,10.0,4.76,1.22,1,1,0,3,1,3,29.1,1.61,9.24,53.57,71.92,20.16,45.82,119.5,0.41,44.31
Tirupati,22.8,Female,4,8.9,6.12,2.38,2,1,0,5,5,2,42.6,1.88,9.88,47.12,75.51,22.02,65.96,80.5,0.44,52.53
Kota,23.6,Male,5,10.6,8.02,1.3,2,0,0,5,2,1,54.2,0.98,4.63,61.71,33.43,14.1,45.41,49.2,0.68,58.85
Mumbai,19.2,Female,4,7.9,7.17,2.8,2,0,0,4,1,2,51.1,1.38,6.07,75.12,82.93,21.67,45.7,72.6,0.67,38.73
Jodhpur,33.8,Female,4,9.7,5.3,2.43,3,1,0,3,3,0,33.4,1.82,5.64,57.09,42.54,29.89,66.79,90.9,0.74,46.18
Faridabad,35.7,Female,4,8.1,6.15,0.55,3,0,0,5,1,2,14.5,0.57,3.19,58.12,39.74,16.42,83.41,129.4,0.76,59.43
Bengaluru,22.3,Male,4,11.2,8.06,3.47,1,1,0,4,1,3,27.8,2.04,5.1,57.14,66.26,12.48,63.78,36.6,0.22,65.5
Bhopal,45.2,Female,4,8.5,7.12,2.23,3,1,0,3,5,3,4.4,1.29,4.28,63.05,50.1,19.49,46.16,23.6,0.63,67.75
Pimpri-Chinchwad,26.9,Male,6,9.8,6.19,2.63,2,0,1,4,2,0,42.4,2.07,4.49,52.2,56.61,21.44,76.58,77.2,0.22,46.02
Chennai,45.3,Male,3,9.2,6.22,1.86,2,1,1,2,3,2,25.4,2.67,1.84,77.32,71.61,20.06,74.02,69.3,0.79,57.39
Bharatpur,23.6,Female,6,6.0,6.33,3.0,4,0,1,1,3,0,64.8,1.91,6.21,52.36,69.59,25.45,69.03,68.2,0.36,52.43
Bhubaneswar,16.0,Male,3,9.5,9.36,2.27,1,1,0,4,3,2,17.1,1.76,1.18,39.88,48.16,22.67,58.89,81.5,0.33,64.48
Howrah,34.0,Female,4,7.1,7.28,1.36,2,1,0,3,3,2,46.3,1.35,3.64,54.85,58.29,17.95,44.02,129.2,0.3,55.97
Visakhapatnam,32.5,Female,4,11.2,6.38,0.77,4,1,0,2,2,2,12.4,1.3,4.01,62.69,76.86,19.48,56.75,164.3,0.57,47.98
Kanpur,30.3,Female,6,9.8,7.82,1.51,5,1,0,5,6,2,86.8,1.02,5.29,63.19,41.79,23.02,70.14,59.9,0.3,62.84
